,gesamtmiete,pred
8723,371.0,445.3
12692,641.0,637.5
6455,240.0,278.3
5910,500.0,437.0
13124,439.0,419.5
2125,520.0,468.6
1450,550.0,484.7
12339,480.0,520.1
10288,455.0,519.9
11950,400.0,447.5
2043,400.0,390.0
10227,640.0,512.1
12271,580.0,572.5
9716,600.0,554.6
9313,500.0,518.4
6516,450.0,444.1
1784,800.0,658.8
3729,300.0,563.6
8133,490.0,466.2
9545,405.0,460.8
6667,290.0,359.3
9072,475.0,479.5
13057,365.0,421.0
9640,450.0,520.0
4604,360.0,363.5
12389,375.0,544.5
6540,597.0,461.1
12131,550.0,441.8
6058,400.0,479.9
8026,310.0,377.7
4936,520.0,544.2
9322,500.0,581.0
7293,625.0,695.5
1933,500.0,425.4
1401,382.0,493.9
9963,400.0,463.6
3192,530.0,475.0
10587,480.0,565.0
12415,520.0,554.7
4424,900.0,568.1
4987,485.0,546.4
14101,450.0,499.3
11189,250.0,473.8
3162,450.0,488.8
11488,460.0,468.0
102,515.0,536.8
10917,600.0,500.6
13695,351.0,455.3
8483,500.0,415.0
11127,497.0,448.1
7099,550.0,531.5
292,590.0,567.4
12258,690.0,625.4
2105,385.0,455.5
12087,436.0,512.9
14247,425.0,427.8
9479,500.0,483.8
11752,830.0,490.0
13331,280.0,473.5
14379,365.0,354.6
3637,900.0,680.3
8612,390.0,408.4
6949,300.0,412.9
10313,395.0,416.3
5600,780.0,773.7
8548,550.0,506.6
3397,310.0,468.0
10787,450.0,459.5
4254,830.0,754.6
13078,310.0,372.6
12696,370.0,319.0
12675,425.0,421.6
5805,490.0,467.4
9672,620.0,663.9
11172,525.0,405.8
3067,339.0,330.8
576,550.0,549.4
4685,560.0,578.2
12180,600.0,598.7
10103,550.0,497.2
11618,385.0,482.2
2171,550.0,520.4
11231,335.0,494.6
13680,380.0,464.5
11727,630.0,484.3
11201,517.0,450.5
9775,450.0,578.3
4896,570.0,576.4
2255,730.0,716.2
3601,620.0,602.5
11717,450.0,527.8
1496,550.0,545.0
7038,760.0,540.9
2966,400.0,469.3
6582,550.0,520.6
1931,990.0,641.9
13894,498.0,453.6
1413,364.0,391.4
12798,400.0,422.2
4546,430.0,395.5
10269,490.0,493.5
1172,360.0,471.9
14142,710.0,677.2
7499,500.0,449.4
14021,502.0,580.7
5638,390.0,557.0
6401,250.0,321.0
2484,550.0,557.0
2504,420.0,465.7
4464,480.0,418.3
12155,420.0,432.8
1276,800.0,549.1
12128,400.0,495.8
2235,650.0,649.5
5221,642.0,614.9
12516,430.0,423.5
7949,370.0,357.1
1623,610.0,640.0
6036,550.0,515.5
942,325.0,411.9
6264,540.0,515.4
4674,550.0,512.5
11543,440.0,425.0
5701,465.0,457.3
5931,372.0,482.9
3742,340.0,406.6
8192,400.0,443.8
1339,550.0,526.6
4823,200.0,421.0
6084,510.0,517.6
12425,550.0,528.4
9779,350.0,378.1
7740,440.0,434.0
13733,605.0,501.7
8434,475.0,534.4
9855,350.0,466.1
13170,620.0,554.8
5737,750.0,630.6
3839,490.0,491.6
2030,700.0,655.7
9922,450.0,412.2
6209,495.0,603.1
13698,350.0,402.3
7253,370.0,497.1
11089,550.0,452.1
11530,315.0,420.0
4796,800.0,702.7
2600,420.0,548.4
2651,500.0,622.5
3696,550.0,573.8
2775,500.0,497.2
2218,400.0,451.0
8871,460.0,454.1
463,900.0,702.3
7372,420.0,408.9
8708,448.0,501.2
752,360.0,368.1
6113,520.0,563.0
5930,620.0,568.2
554,340.0,319.4
13990,430.0,425.7
8240,347.0,390.8
13319,350.0,448.7
401,550.0,586.1
10415,399.0,400.9
10912,485.0,433.0
13801,320.0,420.8
12174,640.0,491.7
14100,320.0,474.0
330,750.0,561.2
7670,650.0,587.1
6462,480.0,408.1
1064,310.0,384.9
11711,580.0,557.5
3439,450.0,536.7
199,505.0,516.0
4027,450.0,456.1
12782,600.0,509.1
2488,500.0,525.8
7121,420.0,490.8
12250,500.0,509.5
5916,420.0,451.8
11665,515.0,500.0
14378,290.0,412.2
4224,640.0,564.6
10315,420.0,435.2
8399,680.0,598.5
3339,650.0,555.1
2080,650.0,544.6
6353,400.0,521.0
1040,450.0,433.0
3430,570.0,509.5
11323,403.0,416.5
11167,480.0,511.1
6472,478.0,479.4
12170,410.0,483.0
5601,485.0,543.0
11174,500.0,402.5
3358,455.0,439.5
4109,225.0,513.5
13787,460.0,460.3
9736,500.0,568.4
13871,505.0,455.1
4264,470.0,537.6
1593,510.0,560.7
13878,470.0,482.1
4403,1000.0,570.3
13772,555.0,567.3
7673,250.0,491.3
14259,990.0,711.9
96,295.0,429.7
7769,350.0,403.1
10884,559.0,558.9
7303,540.0,545.9
12421,490.0,554.4
3191,360.0,374.6
4048,312.0,404.1
11913,475.0,486.4
3176,351.0,351.5
6240,383.0,479.2
60,360.0,369.6
10730,400.0,422.6
729,430.0,453.2
11107,489.0,521.2
7600,328.0,391.5
8565,450.0,476.0
13885,300.0,357.0
3001,250.0,374.7
5382,500.0,442.8
10087,320.0,360.4
5106,430.0,452.9
1561,425.0,575.0
6258,350.0,420.6
2739,550.0,500.1
1493,698.0,537.4
8195,265.0,395.1
5020,590.0,575.7
6267,355.0,477.4
3928,290.0,366.6
10329,570.0,440.9
2627,650.0,641.4
6869,530.0,528.1
9306,750.0,593.4
4266,350.0,528.3
6059,650.0,633.2
966,375.0,365.1
3149,335.0,299.0
4437,725.0,685.2
4638,650.0,603.2
11424,460.0,470.5
7934,550.0,511.4
10476,430.0,440.1
13104,890.0,561.4
12211,500.0,484.0
10572,350.0,693.4
13911,630.0,564.7
2737,550.0,454.8
439,500.0,579.0
12586,468.0,523.8
5450,600.0,550.7
3620,620.0,609.3
11513,480.0,493.0
13759,250.0,323.6
4989,521.0,570.5
14145,700.0,691.9
10859,480.0,526.7
10646,590.0,560.3
7193,370.0,444.0
12235,340.0,431.3
13300,456.0,487.2
492,630.0,622.8
12537,380.0,404.6
9133,463.0,459.0
14084,420.0,505.7
50,270.0,458.5
10705,470.0,425.3
7280,200.0,418.3
1228,475.0,550.0
4005,474.0,438.2
1693,650.0,567.6
10220,550.0,450.6
11720,390.0,441.8
4132,300.0,374.6
6958,660.0,533.0
12653,478.0,525.0
11156,424.0,374.3
13785,420.0,415.5
11190,595.0,515.8
12842,370.0,292.0
6970,600.0,605.4
12994,600.0,562.5
10975,350.0,296.3
1197,589.0,523.4
2888,555.0,516.2
9427,680.0,666.3
14498,600.0,591.7
14324,355.0,529.0
2136,460.0,489.7
14295,500.0,418.2
13353,514.0,503.6
13702,240.0,446.7
3657,485.0,433.1
13603,450.0,469.6
2308,550.0,550.4
13371,366.0,732.6
4840,800.0,656.5
3895,390.0,504.7
6311,500.0,514.0
9536,550.0,514.5
6755,420.0,393.7
12325,636.0,563.1
3252,498.0,489.1
4147,630.0,629.7
9312,400.0,468.9
10559,800.0,583.0
2815,560.0,519.3
5107,599.0,519.8
9238,419.0,596.4
7285,360.0,465.0
6439,275.0,273.4
2822,500.0,480.8
1258,400.0,567.6
4661,250.0,362.0
14434,310.0,442.9
6620,490.0,468.9
3697,525.0,547.7
7518,400.0,472.8
14156,395.0,537.7
3467,750.0,469.8
1631,680.0,587.8
2159,780.0,598.3
11495,390.0,482.1
911,360.0,352.0
11151,555.0,519.5
5050,350.0,489.7
14337,550.0,541.1
12649,450.0,469.5
3523,590.0,589.8
1332,500.0,491.4
12553,400.0,543.2
13260,330.0,345.8
11625,385.0,466.3
7820,332.0,373.9
4577,600.0,612.9
2010,550.0,504.8
9013,370.0,398.3
564,360.0,345.2
648,650.0,531.8
2782,375.0,356.1
10888,402.0,382.5
2172,650.0,529.7
10145,471.0,400.8
5845,376.0,388.8
8539,680.0,525.0
2232,750.0,638.5
12566,420.0,416.2
6898,450.0,467.5
11258,560.0,401.5
591,375.0,298.0
4914,635.0,535.4
1051,485.0,479.9
13106,390.0,412.9
11920,380.0,531.9
11889,600.0,535.4
1241,435.0,446.3
3993,384.0,411.9
2032,400.0,413.1
13660,755.0,576.9
11168,450.0,435.7
10855,590.0,531.1
11758,550.0,531.7
3512,590.0,589.8
8561,630.0,607.3
7443,650.0,544.7
11183,690.0,640.6
5399,650.0,510.4
8738,450.0,390.8
10704,520.0,433.2
10954,474.0,403.7
8898,400.0,452.7
1985,640.0,623.4
9615,515.0,473.2
14219,360.0,436.0
9451,331.0,414.3
3041,600.0,470.7
11762,410.0,436.0
13641,401.0,460.0
9886,434.0,428.4
4852,485.0,426.2
